,Name,Latitude,Longitude
0,Albany Park,41.9719367,-87.7161739
1,Altgeld Gardens,41.654863750000004,-87.60044615358365
2,Andersonville,41.9771393,-87.66927341557962
3,Archer Heights,41.8114215,-87.7261651
4,Armour Square,41.8400333,-87.633107
5,Ashburn,41.7475332,-87.7111628
6,Auburn Gresham,41.74338725,-87.6560415931265
7,Avalon Park,41.7450346,-87.5886584
8,Avondale,41.9389208,-87.711168
9,Avondale Gardens,41.9389208,-87.711168
10,Back of the Yards,41.8075332,-87.6661628
11,Belmont Central,41.9397964,-87.6533276
12,Belmont Gardens,41.9397964,-87.6533276
13,Belmont Heights,42.0900773,-87.9780426
14,Belmont Terrace,41.9397964,-87.6533276
15,Beverly,41.7181532,-87.6717674
16,Beverly View,41.7181532,-87.6717674
17,Beverly Woods,41.6833861,-87.6812436
18,Big Oaks,42.0564542,-88.2977598
19,Boystown,41.9438833,-87.6492669
20,Bowmanville,41.9721331,-87.6937374
21,Brainerd,41.7328116,-87.6583828
22,Brickyard,41.92944385,-87.78813091877166
23,Bridgeport,41.8379385,-87.651028
24,Brighton Park,41.8189217,-87.6989421
25,Bronzeville,41.8312717,-87.6265475
26,Bucktown,41.9124994,-87.6724672
27,Budlong Woods,41.98336825,-87.69633944669735
28,Buena Park,41.9578099,-87.6528331
29,Burnside,41.7300345,-87.596714
30,Cabrini–Green,41.8988049,-87.6409372
31,Calumet Heights,41.7300347,-87.5792134
32,Canaryville,41.8147556,-87.6403288
33,Central Station,-25.35977245,-57.56807095852804
34,Chatham,41.7411454,-87.6125481
35,Chicago Lawn,41.7750332,-87.6964408
36,Chinatown,41.8516579,-87.6331383
37,Chrysler Village,41.9530135,-87.75590513502219
38,Clarendon Park,41.96327455,-87.6488575927304
39,Clearing East,41.7786767,-87.76920156251208
40,Clearing West,41.7786767,-87.76920156251208
41,Cragin,41.9203096,-87.7561691
42,Crestline,41.7442705,-87.7258555
43,Dearborn Homes,41.84073675,-87.62824856406172
44,Dearborn Park,41.8665526,-87.62895387063347
45,Douglas Park,41.8600662,-87.69935465963917
46,Dunning,41.952809,-87.7964493
47,East Beverly,41.7181532,-87.6717674
48,East Chatham,41.7411454,-87.6125481
49,East Garfield Park,41.8808657,-87.7028328
50,East Hyde Park,41.7942253,-87.59256224376242
51,East Pilsen,41.8560101,-87.656306
52,East Side,41.7080202,-87.5348269100358
53,East Village,41.8755616,-87.6244212
54,Eden Green,41.8854222,-87.6712386
55,Edgebrook,41.9996772,-87.7641002
56,Edgewater,41.9833689,-87.6639516
57,Edgewater Beach,41.9833689,-87.6639516
58,Edgewater Glen,41.9923905,-87.664046
59,Edison Park,42.0057335,-87.81401633833357
60,Englewood,41.7797559,-87.6458836
61,Fernwood,41.70397535,-87.63910080862382
62,Fifth City,14.5907783,120.9663103
63,Ford City,41.685421399999996,-87.72051091715932
64,Forest Glen,41.991751550000004,-87.75167396842738
65,Fuller Park,41.8180891,-87.6325508
66,Gage Park,41.795033,-87.6961636
67,Galewood,41.9236425,-87.7928372
68,The Gap,41.9440218,-87.66414
69,Garfield Ridge,41.8036171,-87.74548862491682
70,Gladstone Park,41.9796031,-87.7777196
71,Gold Coast,41.9066994,-87.6253308
72,Golden Gate,43.58919945,-79.64897568250672
73,Goose Island,41.9039703,-87.65374752593115
74,Graceland West,41.95813205,-87.66078928327804
75,Grand Boulevard,41.8139226,-87.6172724
76,Grand Crossing,41.75559,-87.6003258
77,Greater Grand Crossing,41.7668861,-87.62084461319708
78,Greektown,41.8784447,-87.6469318
