,Neighborhood,Id,Name_of_resturant
0,Armour Square,57205dd2498e101ee1162dbf,Oberoi's Indian Food
1,Avondale,5d2a84fc7cfbfe00235364df,Superkhana International
2,Avondale Gardens,5d2a84fc7cfbfe00235364df,Superkhana International
3,Belmont Central,562987d2498e027ba6c80810,Khyber Pass
4,Belmont Gardens,562987d2498e027ba6c80810,Khyber Pass
5,Belmont Terrace,562987d2498e027ba6c80810,Khyber Pass
6,Bowmanville,4b7ca417f964a5200b9f2fe3,Paprika
7,Bronzeville,57205dd2498e101ee1162dbf,Oberoi's Indian Food
8,East Hyde Park,4a592bdaf964a520dfb81fe3,Rajun Cajun
9,Edgewater,4b3c09dbf964a520cf8025e3,The Little India Restaurant
10,Edgewater Beach,4b3c09dbf964a520cf8025e3,The Little India Restaurant
11,Edgewater Glen,583f96e34c5312682f04d38b,Mango Pickle
12,Forest Glen,4fa83a75e4b0e4e84cb26830,Himshikhar Restaurant
13,Graceland West,52f80e32498e677d6a1b6424,Curry Point
14,Heart of Chicago,4fc96051e4b0e1bd1a22150f,Rangoli
15,Heart of Chicago,4c783985dbaa76b0fa28144b,Naveen's Cuisine
16,Hyde Park,4a592bdaf964a520dfb81fe3,Rajun Cajun
17,Illinois Medical District,4a57d6d2f964a520e8b61fe3,Taj Mahal
18,Jackowo,5d2a84fc7cfbfe00235364df,Superkhana International
19,K-Town,5c6888d22db4a9002c90becb,Vajra
20,Lincoln Park,562987d2498e027ba6c80810,Khyber Pass
21,Lincoln Square,4b7ca417f964a5200b9f2fe3,Paprika
22,Logan Square,5d2a84fc7cfbfe00235364df,Superkhana International
23,Margate Park,4ad7d628f964a520390f21e3,Shan's Grocery & Restaurant
24,Mayfair,59c298cbe2d4aa21cad3f94e,Indo-Pak Grill
25,Merchant Park,5d2a84fc7cfbfe00235364df,Superkhana International
26,Noble Square,5c6888d22db4a9002c90becb,Vajra
27,Old Town,5c6888d22db4a9002c90becb,Vajra
28,Polish Village,5c6888d22db4a9002c90becb,Vajra
29,Ravenswood Gardens,4b7ca417f964a5200b9f2fe3,Paprika
30,Ravenswood Gardens,4a4ea009f964a520d0ae1fe3,Essence of India
31,Ravenswood Manor,4b7ca417f964a5200b9f2fe3,Paprika
32,Rogers Park,4b904e30f964a520f18233e3,Luzzat
33,Sauganash,4fa83a75e4b0e4e84cb26830,Himshikhar Restaurant
34,South Edgebrook,4fa83a75e4b0e4e84cb26830,Himshikhar Restaurant
35,Tri-Taylor,4a4d85a8f964a520f9ad1fe3,Chicago Curry House Indian Restaurant
36,West DePaul,55f5f98b498ec37dea5e5234,Hakka Bakka
37,West Lakeview,562987d2498e027ba6c80810,Khyber Pass
38,West Ridge,4aa1e192f964a520aa4120e3,Udupi Palace
39,West Ridge,4bd492ce7b1876b09c518986,Tiffin Indian Kitchen
40,West Ridge,4b37dedaf964a520c64725e3,Tahoora
41,West Ridge,5062656be4b0b51b64824638,Clifton Grill
42,West Ridge,4b63a9f5f964a520ad8a2ae3,Khan B.B.Q.
43,West Ridge,4abc1f19f964a520778620e3,Hema's Kitchen
44,West Ridge,4f5e3fbae4b026f4c7e564ca,Pak Sweets
45,West Ridge,4a533e3ef964a52025b21fe3,Mysore Woodlands
46,West Ridge,4a426e47f964a520daa51fe3,Uru-Swati
47,West Ridge,4b09dd0cf964a520d71e23e3,Sukhadia's
48,West Ridge,4c25698b905a0f4739946160,Delhi Darbar Kabab House
49,West Ridge,4b78a5c9f964a520dedb2ee3,Arya Bhavan
50,West Ridge,4fdd0058e4b0ec5a8f166067,Serena Restaurant
51,West Ridge,4b7ca895f964a520cd9f2fe3,JK Kabob House
52,West Ridge,4bf999945efe2d7f71856c34,Punjabi Dhaba
53,West Ridge,4c38f25f1e06d13a88bf783e,Annapurna
54,West Ridge,4b8f2688f964a5204a4b33e3,India Garden
55,West Rogers Park,4b904e30f964a520f18233e3,Luzzat
56,West Town,4fc96051e4b0e1bd1a22150f,Rangoli
57,West Town,4c783985dbaa76b0fa28144b,Naveen's Cuisine
58,Armour Square,57205dd2498e101ee1162dbf,Oberoi's Indian Food
